site_id,latitude,longitude,C1_Major_Roads,C5_Competitor_EVCS,C6_POI_Schools,C6_POI_Shopping_Malls,C6_POI_Restaurants,C6_POI_Hospitals,C6_POI_Theatres,C6_POI_Bus_Stops,C6_POI_Petrol_Bunks
SITE_075,25.271978242194336,82.97453473047125,8.5711,1.0,2.7578,3.8646,4.7022,1.0,1.388,1.0153,4.615
SITE_076,25.276490927998307,82.97460778560333,7.4965,1.0,2.9385,3.985,4.0587,1.0,1.8265,1.0155,5.3152
SITE_077,25.281003610845378,82.97468085832709,7.7435,1.0,3.1279,3.9984,3.7917,1.0,2.3524,1.0097,5.6882
SITE_078,25.285516290735117,82.97475394864543,8.2987,1.0,3.3644,3.9537,3.8992,1.0,2.7197,1.0045,5.5214
SITE_079,25.290028967667137,82.97482705656115,7.0799,1.0,3.6642,3.915,4.2598,1.0,2.7266,1.0067,4.8661
SITE_080,25.294541641641025,82.97490018207712,7.4642,1.0,4.0165,3.937,4.8335,1.0,2.4079,1.028,4.0634
SITE_081,25.29905431265636,82.97497332519617,8.0362,1.0,4.3837,4.0393,5.4656,1.0,2.024,1.1191,3.4578
SITE_082,25.30356698071274,82.97504648592118,8.9535,1.0,4.7062,4.1936,5.8137,1.0,1.8873,1.4758,3.1255
SITE_083,25.308079645809755,82.97511966425496,8.4786,1.0,4.9128,4.336,5.6617,1.0,2.1474,2.4815,2.9032
SITE_084,25.312592307946993,82.97519286020038,8.8899,1.0,4.9405,4.4014,5.0779,1.0,2.6539,4.1025,2.6173
SITE_085,25.317104967124042,82.97526607376027,8.8453,1.0,4.7604,4.3611,4.2268,1.0,3.1202,5.2046,2.2336
SITE_086,25.321617623340504,82.97533930493749,8.0282,1.0,4.3988,4.2404,3.2675,1.0,3.5518,4.8243,1.8287
SITE_087,25.326130276595954,82.97541255373491,7.6349,1.0,3.9373,4.1064,2.3861,1.0,4.277,3.5881,1.4902
SITE_088,25.330642926889997,82.97548582015536,8.7288,1.0,3.4863,4.0303,1.7303,1.0,5.26,2.4532,1.2593
SITE_089,25.335155574222217,82.97555910420172,8.3108,1.0,3.1415,4.0491,1.3296,1.0,5.7431,1.6641,1.1311
SITE_090,25.339668218592198,82.9756324058768,8.7464,1.0,2.9442,4.1454,1.1252,1.0,5.0805,1.2193,1.0788
SITE_091,25.344180859999533,82.97570572518349,8.5319,1.0,2.8688,4.2557,1.0389,1.0,3.6124,1.0477,1.0727
SITE_092,25.34869349844383,82.97577906212463,8.3919,1.0,2.8419,4.2986,1.0096,1.0,2.2304,1.0066,1.0886
SITE_093,25.353206133924658,82.97585241670309,8.9858,1.0,2.7812,4.2099,1.0018,1.0,1.425,1.0006,1.1074
