site_id,latitude,longitude,C1_Major_Roads,C5_Competitor_EVCS,C6_POI_Schools,C6_POI_Shopping_Malls,C6_POI_Restaurants,C6_POI_Hospitals,C6_POI_Theatres,C6_POI_Bus_Stops,C6_POI_Petrol_Bunks
SITE_141,25.271778234324913,82.98942350154135,6.5513,1.0,2.8747,3.7086,4.2061,1.0,1.1166,1.7873,3.9328
SITE_142,25.276290879485924,82.98949710665545,8.0758,1.0,3.4737,4.2779,4.454,1.0,1.4348,1.992,4.2933
SITE_143,25.280803521687112,82.98957072949358,8.9135,1.0,4.1385,4.8107,4.9016,1.0,2.2102,1.7674,4.3905
SITE_144,25.285316160928062,82.98964437005864,8.363,1.0,4.8514,5.2579,5.2591,1.0,3.5182,1.3667,4.3244
SITE_145,25.289828797208365,82.98971802835347,8.9763,1.0,5.5803,5.608,5.5027,1.0,4.9508,1.1279,4.3669
SITE_146,25.294341430527606,82.98979170438095,7.5507,1.0,6.284,5.8941,5.8262,1.0,5.8038,1.1383,4.8399
SITE_147,25.298854060885375,82.98986539814393,8.8353,1.0,6.911,6.1675,6.3022,1.0,5.9182,1.4054,5.8838
SITE_148,25.30336668828126,82.98993910964532,7.554,1.0,7.3958,6.4516,6.8119,1.0,6.0771,1.848,7.2817
SITE_149,25.307879312714856,82.99001283888794,8.646,1.0,7.6609,6.7109,7.134,1.0,7.0634,2.1438,8.5059
SITE_150,25.312391934185747,82.99008658587468,8.4947,1.0,7.6343,6.8604,6.9703,1.0,8.4389,2.1664,9.0
SITE_151,25.316904552693533,82.99016035060842,8.9095,1.0,7.2818,6.8125,6.1338,1.0,8.9175,2.5618,8.5129
SITE_152,25.321417168237787,82.99023413309202,8.5429,1.0,6.6378,6.5329,4.8129,1.0,8.0819,4.3056,7.2351
SITE_153,25.325929780818107,82.99030793332835,8.3757,1.0,5.8127,6.0669,3.4501,1.0,6.9036,7.0689,5.6588
SITE_154,25.330442390434087,82.99038175132029,8.7972,1.0,4.9629,5.5205,2.3712,1.0,6.2147,8.3936,4.3005
SITE_155,25.33495499708532,82.99045558707073,8.1929,1.0,4.2347,5.0089,1.6597,1.0,5.6391,6.6763,3.458
SITE_156,25.339467600771375,82.9905294405825,8.7369,1.0,3.7094,4.6038,1.2629,1.0,4.5359,3.7182,3.1037
SITE_157,25.34398020149186,82.99060331185854,8.5842,1.0,3.3805,4.3088,1.0832,1.0,3.0857,1.8097,2.9649
SITE_158,25.34849279924637,82.99067720090167,8.6896,1.0,3.1712,4.0729,1.0202,1.0,1.9164,1.1499,2.7503
SITE_159,25.35300539403447,82.99075110771483,8.3004,1.0,2.9811,3.8312,1.0037,1.0,1.2964,1.0172,2.3546
SITE_160,25.357517985855782,82.99082503230083,8.0659,1.0,2.7309,3.543,1.0005,1.0,1.0703,1.0012,1.8742
SITE_161,25.36203057470987,82.99089897466258,8.0959,1.0,2.3866,3.2061,1.0,1.0,1.0122,1.0001,1.4635
SITE_162,25.366543160596333,82.990972934803,8.0109,1.0,1.9567,2.8441,1.0,1.0,1.0016,1.0,1.2008
SITE_163,25.267198597108706,82.99431261917739,4.0026,1.0,2.5601,3.0817,4.0726,1.0,1.0216,1.6591,3.9176
SITE_164,25.27171123161474,82.99438638984782,5.9805,1.0,3.2004,3.7613,4.5583,1.0,1.1116,2.4567,4.4616
SITE_165,25.27622386316038,82.99446017828355,7.8869,1.0,3.9046,4.5199,5.2965,1.0,1.4286,2.976,4.8129
SITE_166,25.28073649174522,82.99453398448742,8.3776,1.0,4.6662,5.282,6.0492,1.0,2.2293,2.6455,5.0597
SITE_167,25.285249117368835,82.99460780846232,7.3947,1.0,5.4652,5.9704,6.5309,1.0,3.6493,1.8451,5.3314
SITE_168,25.289761740030823,82.99468165021113,8.8487,1.0,6.2709,6.5406,6.782,1.0,5.3432,1.3041,5.7473
SITE_169,25.294274359730775,82.99475550973672,8.79,1.0,7.0426,6.9948,7.0108,1.0,6.5723,1.2882,6.3675
SITE_170,25.298786976468275,82.99482938704196,8.4307,1.0,7.7248,7.3628,7.3225,1.0,7.0047,1.8675,7.1396
SITE_171,25.303299590242908,82.99490328212973,8.4315,1.0,8.2422,7.6605,7.7142,1.0,7.2163,2.9358,7.876
SITE_172,25.307812201054276,82.9949771950029,8.9776,1.0,8.5053,7.859,8.0166,1.0,7.8779,3.7299,8.3114
SITE_173,25.31232480890196,82.99505112566435,8.8903,1.0,8.4337,7.8905,7.8073,1.0,8.6178,3.5731,8.2353
SITE_174,25.316837413785546,82.99512507411696,7.2912,1.0,7.9943,7.6896,6.7792,1.0,8.4049,3.2224,7.6083
SITE_175,25.321350015704628,82.99519904036362,7.7735,1.0,7.2324,7.2416,5.1847,1.0,7.0449,4.2731,6.5754
SITE_176,25.3258626146588,82.99527302440718,8.2265,1.0,6.2762,6.6053,3.6055,1.0,5.4829,6.9775,5.3997
SITE_177,25.33037521064764,82.99534702625056,8.6204,1.0,5.3018,5.8961,2.4163,1.0,4.4874,8.9251,4.3769
SITE_178,25.334887803670746,82.9954210458966,8.8274,1.0,4.4724,5.239,1.6656,1.0,3.8451,7.7037,3.7205
SITE_179,25.33940039372771,82.99549508334822,8.6535,1.0,3.8797,4.7168,1.2599,1.0,3.0719,4.543,3.4315
SITE_180,25.343912980818114,82.99556913860827,8.9562,1.0,3.5189,4.3417,1.0805,1.0,2.1889,2.165,3.2867
SITE_181,25.348425564941557,82.99564321167968,8.4025,1.0,3.3063,4.0629,1.019,1.0,1.5111,1.238,3.0223
SITE_182,25.35293814609761,82.9957173025653,8.4122,1.0,3.1285,3.8058,1.0034,1.0,1.162,1.0302,2.5513
SITE_183,25.35745072428589,82.99579141126802,8.7344,1.0,2.892,3.5158,1.0004,1.0,1.0377,1.0024,1.9933
SITE_184,25.36196329950596,82.99586553779072,8.4788,1.0,2.5519,3.1804,1.0,1.0,1.0064,1.0001,1.5229
SITE_185,25.366475871757437,82.99593968213631,8.7564,1.0,2.1116,2.8196,1.0,1.0,1.0008,1.0,1.225
SITE_186,25.267131441340492,82.99927530644392,4.0157,1.0,2.8592,2.8838,4.13,1.0,1.0162,1.7994,3.7798
SITE_187,25.271644062198273,82.99934926038901,5.9246,1.0,3.5479,3.6153,5.1067,1.0,1.0846,2.9019,4.5951
SITE_188,25.27615668009468,82.99942323214349,7.792,1.0,4.2755,4.4665,6.2229,1.0,1.3331,3.7774,5.3696
SITE_189,25.2806692950293,82.99949722171021,8.3083,1.0,5.0381,5.3654,7.1588,1.0,1.9897,3.4899,6.1065
SITE_190,25.285181907001718,82.99957122909211,8.5875,1.0,5.8269,6.2305,7.6969,1.0,3.2332,2.3749,6.8103
SITE_191,25.28969451601153,82.99964525429202,8.8074,1.0,6.6267,7.0017,7.9343,1.0,4.872,1.5155,7.4521
SITE_192,25.294207122058314,82.99971929731284,8.8011,1.0,7.4085,7.6535,8.0584,1.0,6.2951,1.4311,7.9511
SITE_193,25.298719725141666,82.99979335815746,8.6289,1.0,8.1179,8.1801,8.1995,1.0,7.0535,2.3208,8.1931
SITE_194,25.303232325261177,82.99986743682875,8.3388,1.0,8.669,8.5641,8.4741,1.0,7.3759,4.1698,8.0851
SITE_195,25.30774492241644,82.99994153332959,8.4803,1.0,8.9551,8.7577,8.7514,1.0,7.656,5.8283,7.6078
SITE_196,25.312257516607023,83.00001564766288,8.3741,1.0,8.8807,8.6978,8.4786,1.0,7.6399,5.8253,6.8333
SITE_197,25.31677010783254,83.00008977983148,7.9376,1.0,8.4065,8.3465,7.2447,1.0,6.7773,4.6781,5.8961
SITE_198,25.321282696092563,83.00016392983831,8.9618,1.0,7.5822,7.7275,5.3812,1.0,5.2074,4.4154,4.9315
SITE_199,25.325795281386686,83.00023809768624,8.7644,1.0,6.5479,6.933,3.6102,1.0,3.7227,5.9746,4.043
SITE_200,25.330307863714502,83.00031228337814,7.5187,1.0,5.4947,6.0967,2.3502,1.0,2.8251,7.7031,3.3212
SITE_201,25.334820443075607,83.00038648691692,8.6904,1.0,4.5991,5.3478,1.6052,1.0,2.3413,7.124,2.8404
SITE_202,25.33933301946957,83.00046070830548,8.861,1.0,3.962,4.7667,1.2267,1.0,1.9277,4.5411,2.5915
SITE_203,25.343845592895992,83.0005349475467,8.6472,1.0,3.5813,4.361,1.0676,1.0,1.518,2.2777,2.4468
SITE_204,25.348358163354472,83.00060920464345,8.2921,1.0,3.3706,4.0734,1.0155,1.0,1.2183,1.2865,2.2501
SITE_205,25.352870730844586,83.00068347959866,8.9654,1.0,3.2088,3.8187,1.0026,1.0,1.068,1.0399,1.9451
SITE_206,25.35738329536592,83.00075777241518,7.5418,1.0,2.9928,3.5302,1.0003,1.0,1.0155,1.0034,1.5993
